F01 ,      WHC+Corg+OTU25+OTU576+OTU2203+OTU110
F04 ,WHC+Corg+OTU25+OTU576+OTU2203+OTU16+OTU110
F05 ,      WHC+Corg+OTU25+OTU576+OTU2203+OTU110
F09 ,      WHC+Corg+OTU25+OTU576+OTU2203+OTU110
F10 ,              Clay+Sand+Cu+WHC+Corg+OTU305
F11 ,            WHC+Corg+OTU576+OTU2203+OTU110
F16 ,                    Humus+K_AAE+WHC+OTU305
F19 ,            WHC+Corg+OTU241+OTU576+OTU2203
F21 ,  WHC+Corg+OTU576+OTU110+OTU5+OTU20+OTU866
F22 ,WHC+Corg+OTU241+OTU5+OTU2203+OTU305+OTU217
F23,    K_AAE+WHC+Corg+CEC+OTU576+OTU525+OTU110
F29 ,OTU241+OTU576+OTU5+OTU33+OTU8+OTU11+OTU866
F31 ,  Humus+K_AAE+Cu+WHC+OTU576+OTU2203+OTU110
F33,                Humus+Cu+WHC+OTU2203+OTU576
F34 ,      WHC+Corg+OTU25+OTU576+OTU2203+OTU110
F36 ,      WHC+Corg+OTU25+OTU576+OTU2203+OTU110
F37,    Ca_H2O+WHC+Corg+OTU25+OTU2+OTU16+OTU219
F48 ,    Humus+P_AAE+Cu+Fe+B+WHC+OTU2203+OTU866
F52 ,  Ca_H2O+WHC+Corg+OTU25+OTU2203+OTU2+OTU16
F53,      WHC+Corg+OTU576+OTU543+OTU2203+OTU883
F57,WHC+Corg+OTU543+OTU576+OTU305+OTU2203+OTU17
F61,              Humus+K_AAE+WHC+OTU110+OTU576
F62 ,      P_AAE+WHC+Corg+OTU576+OTU2203+OTU110
F63 ,              Clay+WHC+Corg+OTU576+OTU2203
F64 ,    Humus+K_AAE+Cu+WHC+OTU576+OTU110+OTU82